OrderID;CustomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
10250;DRACD;2;08/07/1996 00:00:00;05/08/1996 00:00:00;12/07/1996 00:00:00;1;65,8300;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
10251;BLONP;3;08/07/1996 00:00:00;05/08/1996 00:00:00;15/07/1997 00:00:00;1;41,3400;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France
10252;BLONP;3;09/07/1996 00:00:00;06/08/1996 00:00:00;11/07/1996 00:00:00;2;51,3000;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium
10253;DRACD;3;10/07/1996 00:00:00;24/07/1996 00:00:00;16/07/1996 00:00:00;2;58,1700;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
10254;BLONP;1;11/07/1996 00:00:00;08/08/1996 00:00:00;23/07/1996 00:00:00;2;22,9800;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland
10255;BLONP;1;12/07/1996 00:00:00;09/08/1996 00:00:00;15/07/1996 00:00:00;1;148,3300;Richter Supermarkt;Starenweg 5;Genève;;1204;Switzerland
10256;DRACD;3;15/07/1996 00:00:00;12/08/1996 00:00:00;17/07/1996 00:00:00;1;13,9700;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil
10257;BLONP;3;16/07/1996 00:00:00;13/08/1996 00:00:00;22/07/1996 00:00:00;3;81,9100;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10258;BLONP;3;17/07/1996 00:00:00;14/08/1996 00:00:00;23/07/1996 00:00:00;1;140,5100;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10259;BLONP;1;18/07/1996 00:00:00;15/08/1996 00:00:00;25/07/1996 00:00:00;3;3,2500;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;;05022;Mexico
10260;BLONP;3;19/07/1996 00:00:00;16/08/1996 00:00:00;29/07/1996 00:00:00;1;55,0900;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Germany
10261;DRACD;1;19/07/1996 00:00:00;16/08/1996 00:00:00;30/07/1996 00:00:00;2;3,0500;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10262;PICCO;3;22/07/1996 00:00:00;19/08/1996 00:00:00;25/07/1996 00:00:00;3;48,2900;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10263;BLONP;3;23/07/1996 00:00:00;20/08/1996 00:00:00;31/07/1996 00:00:00;3;146,0600;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10264;BLONP;1;24/07/1996 00:00:00;21/08/1996 00:00:00;23/08/1996 00:00:00;3;3,6700;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
10265;BLONP;3;25/07/1996 00:00:00;22/08/1996 00:00:00;12/08/1996 00:00:00;3;55,2800;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
10266;BLONP;3;26/07/1996 00:00:00;06/09/1996 00:00:00;31/07/1996 00:00:00;3;25,7300;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10267;BLONP;3;29/07/1996 00:00:00;26/08/1996 00:00:00;06/08/1996 00:00:00;1;208,5800;Frankenversand;Berliner Platz 43;München;;80805;Germany
10268;BLONP;3;30/07/1996 00:00:00;27/08/1996 00:00:00;02/08/1996 00:00:00;3;66,2900;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
10269;FISSA;1;31/07/1996 00:00:00;14/08/1996 00:00:00;09/08/1996 00:00:00;1;4,5600;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
10270;BLONP;3;01/08/1996 00:00:00;29/08/1996 00:00:00;02/08/1996 00:00:00;1;136,5400;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10271;BLONP;1;01/08/1996 00:00:00;29/08/1996 00:00:00;30/08/1996 00:00:00;2;4,5400;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
